Health Region,Agriculture...Forestry.NH3,Agriculture...Forestry.PM10.FIL,Agriculture...Forestry.PM10.PRI,Bulk.Terminals...Plants.NH3,Bulk.Terminals...Plants.PM25.PRI,Bulk.Terminals...Plants.PM.PRI,Coal.PM25.PRI,Coal.PM.CON,Coal.PM.PRI,Coal.SO2,Coal.VOC,Commercial.Institutional.Coal.CO,Commercial.Institutional.Coal.NH3,Commercial.Institutional.Coal.NOX,Commercial.Institutional.Coal.PM10.FIL,Commercial.Institutional.Coal.PM10.PRI,Commercial.Institutional.Coal.PM25.FIL,Commercial.Institutional.Coal.PM25.PRI,Commercial.Institutional.Coal.SO2,Commercial.Institutional.Coal.VOC,Commercial.Institutional.Gas.CO,Commercial.Institutional.Gas.NH3,Commercial.Institutional.Gas.NOX
93,19.29427796,10.61700127,1.09,1638.600822,25.77912279,300.1714617,0,0,0,0,0,28,29.94117681,0,0,11.37319265,0.06606867,13.54151361,0.086790802,0.017060474,0.074655741,0.055991805,0.117639195
94,42.19649245,2.877923801,1.09,40.95118067,5.639784222,9.517048429,13.90500801,46.27086797,6.192804826,38.55866479,32.36585996,41.34658307,35.8100938,1191.947819,1.707055101,6.305053756,0.03677948,7.506016375,0.039031285,0.007096447,0.03227587,0.024206903,0.125
95,27.96386196,2.262202376,0.960916105,32.97089693,4.292016271,7.199224628,0,0,0,0,0,28,29.94117681,0,0,5.263881732,0.030705977,6.26652587,0.032585935,0.005689328,0.026946061,0.020209546,0.125
96,60.62051772,4.220407575,1.09,50.75395814,6.549529484,11.33494695,0,0,0,0,0,28,29.94117681,0,0,6.643377513,0.038753035,7.914175632,0.04112567,0.007707062,0.034007766,0.025505824,0.125
97,50.39169471,8.574941679,1.09,4964.177983,97.30573669,707.2954336,0,0,0,0,0,28,29.94117681,0,0,25.18392298,0.140339113,29.7376476,0.253444702,0.05423643,0.22766813,0.170751097,0.138681537
98,368.0144628,3.448735947,1.09,58.54866811,8.329818286,13.54746921,0,0,0,0,0,28,29.94117681,0,0,6.739435107,0.038972055,8.244709108,0.056159912,0.022560936,0.049001779,0.025823998,0.10584287
99,287.9753399,2.613279879,1.09,27.94855607,3.606613134,6.241787083,0.178825242,0.208821734,0.15443721,0.184433702,0.029996492,24.52400279,26.2417955,0.699637441,0.015402466,4.43600689,0.024087366,5.281271367,0.053338754,0.012228636,0.048914544,0.036685908,0.115627991
100,150.1131377,150.1131377,16.23152308,894.2330747,38.06523904,1872.714732,0.462889491,0.00842402,2.654268441,2.169159803,2.31885451,0.73313889,0.882833596,0.149694706,10.69565765,0.063751668,227.6420819,1.803188384,3.495444458,6.613835351,2.751963121,5.870354014,3.108390893
101,780.879582,780.879582,102.4233442,204.3098564,38.06523904,5487.034357,0.415555669,0.004020031,1.354187774,1.29553223,1.396511934,0.276646346,0.37762605,0.100979704,5.732020207,0.018735458,59.98167028,0.463214946,0.45781288,0.90675408,0.319483771,0.769909875,0.444143889
102,913.8670037,913.8670037,127.7364078,86.19523768,38.06523904,5487.034357,0.651617185,0.004952863,1.738432728,1.628150326,1.768344786,0.190651142,0.330845602,0.14019446,7.341445501,0.013636999,16.48885235,0.114292131,0.070537588,0.175371965,0.035011073,0.141354768,0.113094332
103,1064.758421,1064.758421,111.3148836,366.64596,38.93455997,8963.160334,0.135270527,0.002722524,0.852268103,0.573606411,0.614392072,0.120563634,0.161349295,0.040785661,3.165450907,0.017305612,75.42773162,0.857514583,1.970581018,8.353210718,1.845578842,8.231855261,0.502611213
104,385.4434914,385.4434914,41.43273511,47.12003449,38.06523904,5487.034357,0.051459993,0.002402251,0.723139935,0.26605992,0.289472416,0.121934966,0.145347461,0.023412495,2.834512242,0.015494601,81.02477356,1.08692218,0.282249702,11.8673041,0.175187224,11.75292412,0.367573185
105,697.0540859,697.0540859,72.34669148,207.7422181,38.06523904,6582.387107,0.503094726,0.005380974,1.793975214,1.497016257,1.61323133,0.157427753,0.273642826,0.116215073,6.889329685,0.025041531,69.68383643,0.395656934,0.475304504,0.885746617,0.35130486,0.762932234,0.407901363
106,150.8648684,150.8648684,16.68505283,164.879336,38.06523904,6540.185291,1.559031307,0.147891706,1.653671906,0.941262945,1.025541044,0.157718667,0.241996767,0.0842781,9.82934817,0.254935215,29.93498947,0.233375512,0.404127896,0.746383661,0.305039911,0.646740695,0.340320882
107,416.8689353,416.8689353,47.59760306,63.70087474,38.06523904,7571.12201,0.461201912,0.003278582,1.163163881,1.09787408,1.194016726,0.134718116,0.230860762,0.096142646,5.059109594,0.007840587,16.01601997,0.060017134,0.134408907,0.201354462,0.116191036,0.182821881,0.070739454
108,560.5212489,560.5212489,73.96676345,40.73991172,38.06523904,5122.725279,0.219673424,0.001569969,0.556427963,0.522505709,0.567910637,0.063928404,0.109333333,0.045404928,2.419033699,0.003789531,6.614553158,0.037090516,0.151627552,0.193977918,0.139978852,0.182569021,0.047675294
109,781.9192152,781.9192152,111.7811771,59.27050681,38.06523904,6160.047402,0.51017132,0.003967482,1.386530629,1.284240894,1.392208738,0.148807132,0.256774977,0.107967845,5.82935061,0.011316232,19.58943386,0.099677772,0.680667998,0.829918232,0.648481759,0.795993431,0.146244897
110,1222.641547,1136.510668,1136.510668,9.076720222,3.941124667,1.31,0.478573091,0.97926668,1.061446687,0.044234612,0.126414619,0.082180007,856.2413385,6.197,43.25455326,0,0.181017644,0.002432846,0.290789627,0.31191085,0.072641495,0.093762717,0.021121222
111,513.7280786,998.5609364,998.5609364,9.076720222,3.941124667,1.31,1349.758803,100.067653,169.0074339,75.01047965,143.9502606,68.82631346,895.5471692,5.549393521,2037.217178,34.88828422,0.164825839,0.002098796,0.241598308,0.259087851,0.060836347,0.078325889,0.017489542
112,215.0010456,458.0145985,458.0145985,9.076720222,3.941124667,1.31,125.8887295,18.839568,25.35925209,9.544500956,16.06418504,6.519684086,775.2746762,6.197,246.3158731,0.649947896,0.168235581,0.003057216,0.583423649,0.622111794,0.072256,0.110944145,0.038688145
