"","order","STUSPS","orderReg","GEOID","Agriculture...Forestry.NH3","Agriculture...Forestry.PM10.FIL","Agriculture...Forestry.PM10.PRI","Bulk.Terminals...Plants.NH3","Bulk.Terminals...Plants.PM25.PRI","Bulk.Terminals...Plants.PM.PRI","Coal.PM25.PRI","Coal.PM.CON","Coal.PM.PRI","Coal.SO2","Coal.VOC","Commercial.Institutional.Coal.CO","Commercial.Institutional.Coal.NH3","Commercial.Institutional.Coal.NOX","Commercial.Institutional.Coal.PM10.FIL","Commercial.Institutional.Coal.PM10.PRI","Commercial.Institutional.Coal.PM25.FIL","Commercial.Institutional.Coal.PM25.PRI","Commercial.Institutional.Coal.SO2","Commercial.Institutional.Coal.VOC","Commercial.Institutional.Gas.CO","Commercial.Institutional.Gas.NH3","Commercial.Institutional.Gas.NOX"
"1014",1014,"AR",155,5023,0.62,0.62,0.05,12.9,7.74,0.04,0.23,0.03,0.94,0.015356296,0.11,0.0096460805,0.1,0.007143704,0.0225,4.04,0.01,62.81,0.509672482,183.7233584,7.003394869,6.020204063,5.228577513
"1015",1015,"AL",110,1109,1345.497653,789.36,789.36,9.0767202215,3.941124667,1.31,0.4,0.93,1.01,0.03,0.11,0.08,856.2413385,6.197,41.2,0,0.13,0.001555961,0.19,0.21,0.09,0.11,0.02
"1016",1016,"ID",312,16003,22.243,3.63,10.635,0.12,0.001181818,1.66,1.045,0.01,0.11,0.15,0.02,0.73,0.03,0.07,0.03,0.07,0.04,0.01,0.04,0.01,91.18644528,98.94699219,21.34756637
"1017",1017,"MA",369,25005,1.932951203,150.1114193,0.448468071,0.009,0.198516129,0.17,5.119255251,3.131712899,4.671968144,1.540255241,0.1625,3.2239,21.3844,59.6619,8.8022,296.654,30.3326,30.60001455,18.96709441,19.63741456,0.145,0.0536,773.789
"1018",1018,"PA",201,42107,138.84,138.84,15.29,0.24034393,423.446215,55.72127405,0,77.0857034,0,22.0244867,0,114.423271,84.0224581,0.1694489,58.06150085,0.244562603,79.71988195,1.039833,1.039833,1.382142122,0.078267,7.893860162,0.0520993
"1019",1019,"ND",355,38103,64.45,0,0.160081213,2.763182742,4.236852201,0,0,0,12.77,33.02747044,0.111572312,10.74460383,0.225022312,0.164847402,0.152793223,3.377991618,1.31,1.31,0.25,0.15,0.17,0.02,0.0244296
"1020",1020,"NC",69,37045,369.59,369.59,55.43,1.642837195,0.214527516,0.369055701,4.125609304,4.48316211,0.481321085,0.838873892,0.357552806,5.65,21.16437573,0.017190039,12.30726602,0.064500718,14.65341193,0.113,0.103,0.176602671,0.049452003,0.019382,0.12
"1021",1021,"AR",157,5059,12.72,12.72,1.87,12.9,6.42,0.03,0.19,0.03,0.78,0.015356296,0.09,0.0096460805,0.08,0.007143704,0.0225,3.35,0.01,52.18,1.285801572,488.4514878,17.72031337,15.23545406,13.20040905
"1022",1022,"MD",186,24021,1166.23,1166.23,174.93,119.4322354,316.5692773,341.3101919,0.4,8.58,6.15,7.2,3.02,4.07,1.04,97.224,99.403118,69.65,0.68,37.053,115.9415,44.901,50.46970292,44.881,50.44970292
"1023",1023,"IL",240,17169,597.6833177,2037.9,2037.9,0.001521322,0.000672119,8.27e-06,0,0,0,0,21.43,0,0,1.84,0.01,2.19,0.145917,0.01,0.009618421,0.010983,2.5142562385,0.4981,0.01
"1024",1024,"CA",386,6051,56.1239113,40.75,40.75,0.00140484,0.067447917,0.072916667,0.044155609,0.018820423,82.10108056,0.323204578,0.000904828,8,0.245,4,0.07,0.8,0.04,0.3,56.57,2.51,4.223741556,0.024638492,5.028263758
"1025",1025,"CA",386,6109,512.7639286,0.63,0.63,0.00140484,0.067447917,0.072916667,1.280251373,0.545680913,82.10108056,9.371020295,0.026234659,8,0.245,4,0.07,0.8,0.04,0.3,56.57,2.51,7.163215987,0.041785427,8.527638079
"1026",1026,"NM",264,35013,92.885,14.79241784,57.74182972,5.900677626,68.92184932,0.120915525,4.463263806,0.007830287,71.37958955,0.380133772,100.3821209,0.420316593,0.763304369,0.350316593,0.693483881,0.339770592,1.5543153,2.3116,5.236907649,2.667268943,0.412139031,10.66907577,0.557962691
"1027",1027,"GA",82,13081,245.5280284,1587.11,1587.11,4.55,135.53,5.68,0.10323,0.36218925,0.03,0.35,0.34530888,0.055249421,1.381235521,0.074586718,0.164367027,0.057321274,0.147101583,0.089780309,0.475,2.942031659,0.023481004,41.72,124.4866879
"1028",1028,"AR",157,5027,1.74,1.74,0.23,12.9,7.71,0.04,0.23,0.03,0.94,0.015356296,0.11,0.0096460805,0.1,0.007143704,0.0225,4.02,0.01,68.69,0.615833093,226.6507406,8.442870609,7.258061588,6.305615121
"1029",1029,"ND",355,38039,64.45,0,0.0413836,1.508785539,2.313713898,0,0,0,12.77,18.06036949,0.060934844,5.866642058,0.1228961,0.090030758,0.083448781,1.851619165,1.31,1.31,0.25,0.15,0.17,0.02,0.0244296
"1030",1030,"CA",385,6095,967.2312799,1183.97,1183.97,0.00140484,0.067447917,0.072916667,10.79251907,4.600090097,82.10108056,78.99770109,0.221158178,8,0.245,4,0.07,0.8,0.04,0.3,56.57,2.51,166.44,0.01,103.878
"1031",1031,"IA",262,19043,3697.359059,2839.6,2839.6,6.06,1786.752235,89.66573215,1.156092002,0.006936552,2.543402403,2.774620804,3.01508794,0.32370576,0.564172897,0.240467136,27.4,40.76842834,0.01156092,7.286595796,8.674518805,0.01,0.045107498,0.009325108,0.037300431
"1032",1032,"TX",147,48449,662.34,73.31,73.31,3691.094971,108565.6477,349.0647135,350.27,0.45,8.55,0.04,10.19,0.07,0.19,0.04,0.15,0.11,0.06,0.56,0.021173527,0.41,0.01,0.14,0.009789
"1033",1033,"WV",188,54027,0.220774295,46.10491,0.3718375,0.46,6.24,0.02,37.02576789,0.337114846,116.7664929,4.639625358,3.989043494,3.524386843,7.632335886,3.92,699.2451,56.7524,211.186394,47.659889895,34.015352295,66.8816735,13.26060334,2.111,33.19155
"1034",1034,"NC",67,37125,94.62,94.62,14.19,0.553760564,0.072312021,0.124399724,4.582065824,4.979178195,0.534574346,0.931686718,0.397112371,5.65,23.50599768,0.019091941,12.28063954,0.071637064,14.61980897,0.02,0.01,0.062865179,0.047148884,0.019382,0.27
"1035",1035,"KS",298,20009,4522.5,4522.5,678.37,0.731718972,14.10134237,0.082935893,0.101140195,0.928667125,0.811029356,0.129764697,3.291209806,0.193832673,0.404969405,0.140980003,0.352116734,0.211136732,0.100353,0.127214611,0.056212939,0.62955,0.97506069,0.126465,0.47197569
"1036",1036,"ND",357,38087,64.45,0,0.060634357,0.428158912,0.656733905,0,0,0,12.77,5.081588253,0.017286481,1.654023509,0.03486025,0.025539625,0.023670984,0.533947584,1.31,1.31,0.25,0.15,0.17,0.02,0.0244296
"1037",1037,"LA",136,22083,1777.58,266.63,266.63,0.024024317,0.014899696,0.027720365,1,3,38,7.44,204.6723444,2.141903853,951.834045,31.79768175,27.27376957,24.5511856,39.65783786,31,63.5,55.5,23.5,42.259462935,17.095238095
"1038",1038,"NE",296,31071,268.68,40.3,40.3,1.352927928,0.172190827,0.300104013,0.031511951,0.003383185,0.005896408,0.002513223,0.223145214,0.000120828,1.013265598,0.005910716,1.206268568,0.00238238,0.006272597,0.001296739,0.003890216,0.007237611,0.066344771,0.025017431,0.004002789
"1039",1039,"LA",132,22099,681.86,102.27,102.27,0.030858272,0.019138063,0.035605698,1,3,38,4.02,221.2506397,2.07609519,851.5488512,29.63370678,25.46614403,23.05540684,43.50602095,31,63.5,55.5,23.5,42.259462935,17.095238095
"1040",1040,"AL",113,1119,264.8662105,357.36,357.36,9.0767202215,3.941124667,1.31,0.1,1.73,1.88,0.06,0.21,0.15,856.2413385,6.197,76.51,0,0.015877269,0.000403934,0.07,0.08,0.03,0.04,0.01
"1041",1041,"AL",117,1133,1116.920341,266.42,266.42,9.0767202215,3.941124667,1.31,4.47,0.4,6.03,0.01,4.9,0.03,856.2413385,6.3,18.05,0.07,0.129680207,0.001262097,0.13,0.14,0.06,0.07,0.01
"1042",1042,"FL",105,12117,243.76,243.76,24.47,553.8551076,38.065239035,5487.0343565,0.03,0.001766667,0.53,0.03,0.04,0.02,0.03,0.01,2.07,0.01,37.19,0.21,0.13,0.34,0.06,0.28,0.21
"1043",1043,"MS",120,28035,685.0246535,237.64,237.64,28.39188181,0.26,53.08,1.27,0.25,0.04,2.12,0.4,0.57,0.15,0.32,0.17,14.42,0.02,12.93,5.86,5.86,5.86,59.11,265.5850357
"1044",1044,"MI",227,26065,1681.92,252.28,252.28,10.18283261,0.843332609,3421.372,0.0070227525,1.317,12.4775,0.89,0.13,5.3415,0.14,0.76,0.1,0.43,0.17,16.7005,5e-04,6.4905,1025.577188,6.567820951,2663.550452
"1045",1045,"KS",302,20177,1238.57,1238.57,185.78,93.090257,114.5502884,0.668210016,0.818216346,7.500316504,6.683010089,1.069281614,27.12008902,1.597211864,3.337011908,1.161697505,2.901497549,1.739800044,0.100353,0.127214611,0.463203499,0.62955,0.97506069,0.126465,0.47197569
"1046",1046,"SD",281,46061,9.08,0.03,0.0413836,0.005096457,0.008437152,0.00494768,4.505362719,8.006103065,0,0,0,0,0,0,0,0,1.66,0,9.08,30.93528405,0.118491828,11.81474704,0.240024402
"1047",1047,"MN",249,27061,0.474509805,0.06,1.453259607,46.87259461,0.415209497,0.645626982,0.066454296,1.634671199,0.003161903,7.605245,1.468265,0.995,4.075,3.313574949,2.43,1.8874794015,2.016382367,1.816425051,89.5151,146.5248455,1.228662163,441.6746077,16.76593604
"1048",1048,"CO",268,8073,1.34,0.155525001,0.239607841,161.23633435,0.870344996,2376.4939845,0.095287865,1.3640999795,2.198038467,0.00524869,2.00948132,0.005945714,2.390838069,0.015493341,0.023746771,0.014401271,0.022654701,0.00825343,0.089807,0.010446466,0.135542609,0.110356041,0.003256967
"1049",1049,"NY",207,36053,1.315505013,0.459002432,15.54375968,1.07940924,422.82,427.4948696,760.8052639,5.02,25.595,102.8475,235.45,248.25,47.09,58.96,1.055877081,2.410727883,4.4527825,1.65,2.639,3.393,0.608614084,0.7509022865,0.3440202015
"1050",1050,"NY",208,36115,1.153504994,0.402482131,13.62966012,1.3177542,410.61,416.2706484,795.8226063,2.7,1.0275,102.8475,238.0694418,246.3974943,48.10863637,55.92668884,1.328052467,3.124730033,4.4527825,1.65,2.639,3.393,0.608614084,0.7509022865,0.3440202015
"1051",1051,"IN",232,18081,10.708404,1.738984942,33.17,637.09,0.01504585,385.407,0.39,79.95,0.0449262785,0.41,0.0449262785,0.34,0.014888168,0.456768,0.47,4.39,3.69,0.59,0.79,1.75,0.61,1.57,0.96
"1052",1052,"TX",144,48445,2446.52,355.43,355.43,0.06,1.92,0.002223,350.27,0.45,2.46,0.01,2.93,0.02,0.05,0.01,0.04,0.03,0.01,0.16,0.010469382,0.21,0.01,0.129646559,0.009789
"1053",1053,"NM",266,35021,0.339560013,6.1467825865,0.328097894,0,0,0,0.003971506,6.97e-06,0.057985887,0.000338251,0.069030818,0.000136336,0.00035896,7.42e-05,0.000296833,0.000222624,1.5543153,2.3116,0.003796695,0.002292062,0.00036673,0.009168249,0.000495085
"1054",1054,"AL",114,1121,441.4347236,546.56,546.56,9.0767202215,3.941124667,1.31,2.4908,2.550089583,2.78145,0.101339583,0.3327,0.231360417,856.2413385,0.0602,115.584,0.048,0.32,0.005326636,0.64,0.67,0.03,0.06,0.03
"1055",1055,"WI",247,55067,143.56,143.56,2.37,5.089571975,278.9748572,15.18783,0,0,25.84470508,17.787125,0,0,15.91406,0.05,18.9515,0.57756162,0.671034,0.57756162,0.04347238,0.03123889,0.621034,0.109029,1.0394325
"1056",1056,"TX",145,48155,928.08,127.67,127.67,0.53,16.42,0.01,350.27,0.45,0.18,0.001091,0.22,0.001512947,0.003210316,0.000957316,0.002654684,0.001697368,0.001336,0.01,0.0007832,0.01,0.01,0.00233002,0.01
"1057",1057,"IA",259,19021,6776.795686,2878.15,2878.15,6.06,1786.752235,89.66573215,1.618897004,0.009713382,3.56157341,3.885352811,4.222083388,0.453291161,0.790021738,0.336730577,27.4,57.08878396,0.01618897,10.20355481,12.22708906,0.02,0.323164863,0.01,0.312232483
"1058",1058,"IA",260,19129,688.8837026,2015.98,2015.98,6.06,1786.752235,89.66573215,0.911362956,0.005468178,2.004998502,2.187271094,2.376834588,0.255181628,0.444745122,0.189563495,27.4,32.13830327,0.00911363,5.744121984,6.838240457,0.01,0.03555885,0.007351108,0.029404434
"1059",1059,"TX",138,48385,75.72,8.07,8.07,0.14,4.62,0.005334,350.27,0.45,0,0.02,0,0.03,0.08,0.01,0.07,0.04,0.02,0,0.001409564,0.03,0.01,0.008319804,0.01
"1060",1060,"OH",217,39041,500.7673906,2575.31,2575.31,0.11,0.27,14.73385365,30.69,0,0,2.118547282,0.012959199,4.732924778,5.209203506,5.649440636,0.651926582,1.092163712,0.44023713,24.565,0.023946346,69.660078,2.65371704,82.928664,0.309940903
"1061",1061,"NC",70,37067,176.61,176.61,26.49,1344.963005,6.310629081,20.18318528,26.58229569,28.88609465,3.101267831,5.405066791,2.30379896,5.65,136.3671769,0.110759565,79.59174758,0.415593684,94.7555856,0.4749437,0.4049437,0.878677964,0.294912999,0.0837,0.5176451
"1062",1062,"NV",378,32510,0,0,0,0.13848503,0.011044818,0.92818954,0.06494523,0.338428,18.10128206,0.100885491,0.893343497,0.841195892,0.134591343,3.364783569,0.181698313,0.400409245,0.139638518,0.35834945,0.1556,7.166989002,0.057201321,18.44650425,7.442572875
